GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JourneyJava,by.baranova.journeyjava,JourneyJavaApplication,5,3,0,0,2,1,1,1,1,1
JourneyJava,by.baranova.journeyjava.exception,GlobalExceptionHandler,0,67,0,2,0,20,0,7,0,6
JourneyJava,by.baranova.journeyjava.controller,JourneyController,205,0,6,0,60,0,14,0,11,0
JourneyJava,by.baranova.journeyjava.controller,TravelAgencyController,153,0,4,0,45,0,12,0,10,0
JourneyJava,by.baranova.journeyjava.config,HibernateProperties,24,0,0,0,5,0,7,0,7,0
JourneyJava,by.baranova.journeyjava.config,PropertiesConfig,3,0,0,0,1,0,1,0,1,0
JourneyJava,by.baranova.journeyjava.config,HibernateConfig,66,0,0,0,16,0,2,0,2,0
JourneyJava,by.baranova.journeyjava.config,SwaggerConfig,0,41,0,0,0,16,0,3,0,3
JourneyJava,by.baranova.journeyjava.model,Journey,0,62,0,0,0,21,0,14,0,14
JourneyJava,by.baranova.journeyjava.model,TravelAgency,0,33,0,0,0,12,0,8,0,8
JourneyJava,by.baranova.journeyjava.dto,TravelAgencyDto,18,97,12,10,0,3,10,10,0,9
JourneyJava,by.baranova.journeyjava.dto,JourneyDto,228,50,53,1,0,7,30,14,3,14
JourneyJava,by.baranova.journeyjava.repository,JourneyRepository,227,0,6,0,53,0,18,0,15,0
JourneyJava,by.baranova.journeyjava.repository,TravelAgencyRepository,118,0,4,0,30,0,13,0,11,0
JourneyJava,by.baranova.journeyjava.mapper,JourneyMapper,0,73,0,0,0,20,0,3,0,3
JourneyJava,by.baranova.journeyjava.mapper,TravelAgencyMapper,0,14,0,0,0,4,0,1,0,1
JourneyJava,by.baranova.journeyjava.service,CounterService,13,33,3,3,3,3,5,6,2,6
JourneyJava,by.baranova.journeyjava.service,JourneyService,24,168,4,14,8,43,5,16,1,11
JourneyJava,by.baranova.journeyjava.service,AgencyService,18,65,2,4,3,19,3,7,1,6
JourneyJava,by.baranova.journeyjava.cache,Cache,0,44,0,4,0,11,0,6,0,4
